,Unnamed: 0,Pre-packaged Job Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job_Levels,Languages,Assessment_Length
10,10,/products/product-catalog/view/branch-manager-short-form/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 50
11,11,/products/product-catalog/view/cashier-solution/,T,T,"['Biodata & Situational Judgement', 'Ability & Aptitude', 'Personality & Behavior']","The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 28
12,12,/products/product-catalog/view/global-skills-development-report/,T,F,"['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgement', 'Competencies', 'Development & 360', 'Personality & Behavior']","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,
13,13,/products/product-catalog/view/net-framework-4-5/,T,T,['Knowledge & Skills'],"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 30
14,14,/products/product-catalog/view/net-mvc-new/,T,F,['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17
15,15,/products/product-catalog/view/net-mvvm-new/,T,F,['Knowledge & Skills'],"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5
16,16,/products/product-catalog/view/net-wcf-new/,T,F,['Knowledge & Skills'],"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11
17,17,/products/product-catalog/view/net-wpf-new/,T,F,['Knowledge & Skills'],"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9
18,18,/products/product-catalog/view/net-xaml-new/,T,F,['Knowledge & Skills'],"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5
19,19,/products/product-catalog/view/accounts-payable-new/,T,F,['Knowledge & Skills'],"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9
20,20,/products/product-catalog/view/accounts-payable-simulation-new/,T,F,['Simulations'],Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8
21,21,/products/product-catalog/view/accounts-receivable-new/,T,F,['Knowledge & Skills'],Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13
22,22,/products/product-catalog/view/accounts-receivable-simulation-new/,T,F,['Simulations'],Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8
23,23,/products/product-catalog/view/ado-net-new/,T,F,['Knowledge & Skills'],"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10
24,24,/products/product-catalog/view/claimsoperations-supervisor-solution/,T,T,"['Personality & Behavior', 'Simulations', 'Ability & Aptitude', 'Biodata & Situational Judgement']","The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others.  Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor.  Multiple configurations of this solution are available.","Manager,","English (USA),",Approximate Completion Time in minutes = 48
25,25,/products/product-catalog/view/contact-center-customer-service-8-0/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Competencies', 'Personality & Behavior', 'Simulations']","The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Entry-Level,","English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese,",Approximate Completion Time in minutes = 41
26,26,/products/product-catalog/view/contact-center-customer-service-8-0-4269/,T,F,"['Simulations', 'Biodata & Situational Judgement', 'Competencies', 'Personality & Behavior']",The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Entry-Level,","English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French,",Approximate Completion Time in minutes = 31
27,27,/products/product-catalog/view/contact-center-manager-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample
tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates;
interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are:
Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Manager, Supervisor, Front Line Manager,","English (USA),",Approximate Completion Time in minutes = 50
28,28,/products/product-catalog/view/contact-center-sales-and-service-8-0/,T,F,"['Personality & Behavior', 'Biodata & Situational Judgement', 'Competencies', 'Ability & Aptitude', 'Simulations']","The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Entry-Level,","English International, English (USA),",Approximate Completion Time in minutes = 41
29,29,/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,T,F,"['Simulations', 'Biodata & Situational Judgement', 'Competencies', 'Personality & Behavior']",The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Entry-Level,","English International, English (USA),",Approximate Completion Time in minutes = 31
30,30,/products/product-catalog/view/contact-center-team-leadcoach-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership
positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited
to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on
attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates
or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal
guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor,
Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","Front Line Manager, Professional Individual Contributor, Supervisor,","English (USA),",Approximate Completion Time in minutes = 45
31,31,/products/product-catalog/view/contact-centre-agent-solution-uk/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Entry-Level,","English International,",Approximate Completion Time in minutes = 39
32,32,/products/product-catalog/view/customer-service-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English (USA), English International,",Approximate Completion Time in minutes = 42
33,33,/products/product-catalog/view/customer-service-short-form-uk/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Customer Service Representative solution is for entry-level positions that involve
a high degree of interaction with customers in person or on the phone. Sample tasks
for this job include, but are not limited to: taking orders; solving product or service
issues; responding positively to difficult customers; referring unresolved issues to the
appropriate individuals; providing information on products and/or services. Potential
job titles that use this solution are: Account Service Representative, Account
Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English International,",Approximate Completion Time in minutes = 42
34,34,/products/product-catalog/view/customer-service-with-sales-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 44
35,35,/products/product-catalog/view/director-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Director,","English (USA),",Approximate Completion Time in minutes = 69
36,36,/products/product-catalog/view/districtregional-manager-solution/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area.  Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals.  Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available.","Manager,","English (USA),",Approximate Completion Time in minutes = 65
37,37,/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,T,F,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Ability & Aptitude']","The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Entry-Level,","French (Canada), Latin American Spanish, English (USA), English International,",Approximate Completion Time in minutes = 18
38,38,/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 18
39,39,/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,T,F,"['Competencies', 'Personality & Behavior']","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,","German, Finnish, Portuguese (Brazil), English (USA), Norwegian, Dutch, Arabic, Swedish, French (Canada), Italian, Danish, English International, Chinese Simplified, Latin American Spanish, French,",Approximate Completion Time in minutes = 19
40,40,/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,T,F,"['Competencies', 'Personality & Behavior']","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,","French, Dutch, English (USA), English International, Italian, German,",Approximate Completion Time in minutes = 19
41,41,/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,T,F,"['Competencies', 'Personality & Behavior']","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,","English International,",Approximate Completion Time in minutes = 19
42,42,/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,T,F,"['Biodata & Situational Judgement', 'Competencies', 'Personality & Behavior']","The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","Entry-Level,","Portuguese (Brazil),",Approximate Completion Time in minutes = 20
43,43,/products/product-catalog/view/entry-level-sales-7-1/,T,F,"['Personality & Behavior', 'Biodata & Situational Judgement', 'Competencies']","The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA), English International,     Portuguese, French Canadian, German, French, Chinese Simplified, Spanish, North American Spanish.","Entry-Level,","English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese,",Approximate Completion Time in minutes = 20
44,44,/products/product-catalog/view/entry-level-sales-sift-out-7-1/,T,F,"['Competencies', 'Personality & Behavior', 'Biodata & Situational Judgement']","The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer","Entry-Level,","Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German,",Approximate Completion Time in minutes = 20
45,45,/products/product-catalog/view/event-sales-manager-solution/,T,T,"['Simulations', 'Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for special events and managing staff. The solution is focused on sales, solving problems and making good decisions. Potential job titles that use this solution are: Event Sales Manager, Events Manager and Special Events Manager. Multiple configurations of this solution are available.","Supervisor, Front Line Manager, Manager,","English (USA),",Approximate Completion Time in minutes = 50
46,46,/products/product-catalog/view/executive-short-form/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. Executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. Potential job titles that use this solution are: Executive Vice President, President, and Executive Director.","Executive,","English (USA),",Approximate Completion Time in minutes = 74
47,47,/products/product-catalog/view/financial-professional-short-form/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 35
48,48,/products/product-catalog/view/teller-7-0/,T,T,"['Biodata & Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']","Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. The Teller Solution contains scales that measure a person’s ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
49,49,/products/product-catalog/view/teller-with-sales-short-form/,T,F,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']","The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to: balancing currency, coin and checks, cashing checks and paying out money, entering customer transactions into computers, and suggestive selling after a customer service interaction.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 35
50,50,/products/product-catalog/view/transcriptionist-solution/,T,T,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']","The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information.  Sample tasks for these jobs include, but are not limited to: transcribing dictated reports, deciphering medical jargon, and proofing medical reports.  Potential job titles that use this solution are: Medical Transcriptionist, Medical Transcriber, and Documentation Specialist.  Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 33
51,51,/products/product-catalog/view/workplace-safety-individual-7-0-solution/,T,F,['Biodata & Situational Judgement'],"Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,","German, English International, English (USA), Italian, French, Dutch, French (Canada), Latin American Spanish, Arabic,",Approximate Completion Time in minutes = 16
52,52,/products/product-catalog/view/workplace-safety-individual-7-1-solution/,T,F,['Biodata & Situational Judgement'],"Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level,","Portuguese (Brazil), English (USA), French (Canada), Latin American Spanish,",Approximate Completion Time in minutes = 16
53,53,/products/product-catalog/view/workplace-safety-team-7-0-solution/,T,F,['Biodata & Situational Judgement'],"The Workplace Safety – Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.
Report Language Availability: English (USA), Latin American Spanish.","Director,","English International, English (USA), French (Canada), Latin American Spanish,",Approximate Completion Time in minutes = 20
54,54,/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,T,F,"['Biodata & Situational Judgement', 'Competencies', 'Personality & Behavior']","The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,","English (USA), Latin American Spanish, French (Canada),",Approximate Completion Time in minutes = 20
55,55,/products/product-catalog/view/workplace-safety-team-7-1-solution/,T,F,"['Biodata & Situational Judgement', 'Competencies', 'Personality & Behavior']","The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,","English International, Finnish, French, Dutch, Latin American Spanish, Swedish, Portuguese (Brazil), Italian, German, French (Canada), Danish,",Approximate Completion Time in minutes = 20
